classify,file
0.5,images/AMMONIA INHALANTS product package/33. h5041amp_c_ds-2_1.jpg
0.5,images/AMMONIA INHALANTS product package/11. a5009-amp_2.jpg
0.0,images/AMMONIA INHALANTS product package/25. pf11741_pri02.jpg
0.5,images/AMMONIA INHALANTS product package/1. 3926.jpg
0.0,images/AMMONIA INHALANTS product package/9. 61hktm1-mal._sl1000_.jpg
0.0,images/ABIES NIG. product package/3. nicotine-web.jpg
0.4,images/ABIES NIG. product package/7. this-or-that-fir-fv_1024x1024_1f308241-0f3a-4aa4-81fc-6ff2780ad0eb_1024x1024.png
0.2,images/ABIES NIG. product package/13. 10ml-eo-firneedle-front.jpg
0.2,images/ABIES NIG. product package/8. 1394616885949.jpg
0.2,images/ABIES NIG. product package/10. roll-on-bottle_extended-label_sniffles-_-sneezes_3737e897-8c40-4b86-83c3-79740c177f88_1024x1024.jpg
0.4,images/ABIES NIG. product package/2. 16412-1-1000.jpg
0.0,images/ABIES NIG. product package/4. 9956-1-1000.jpg
0.2,images/ABIES NIG. product package/33. grouped_ok-for-kids-w-roll-on_pollen-buster_1024x1024.jpg
0.0,images/ABIES NIG. product package/18. cconatural-feeling-my-first-starter-set-01.jpg
0.0,images/ABIES NIG. product package/1. 3988-1-1000.jpg
0.2,images/AMIKACIN SULFATE product package/39. 329874.jpg
0.2,images/AMIKACIN SULFATE product package/17. amikacin-sulfate-injection-for-gmp-factory.jpg
0.2,images/AMIKACIN SULFATE product package/35. molecule.27.jpg
0.2,images/AMIKACIN SULFATE product package/15. amikacin-injection-amikataj-500mg-1-36770379.jpg
0.2,images/AMIKACIN SULFATE product package/12. amikacin-injection-amikataj-500mg-8.jpg
0.0,images/ALUMINUM CHLORIDE product package/46. aluminum-rust-oleum-stops-rust-rubberized-coatings-267972-64_1000.jpg
0.6,images/ALUMINUM CHLORIDE product package/9. 843192.jpg
0.4,images/ALUMINUM CHLORIDE product package/1. 25_aluminum_chloride_hemostatic_solution_30cc_1oz_1024x1024.jpg
0.4,images/ALUMINUM CHLORIDE product package/21. 91mzyh0xjhl._sl1500_.jpg
0.4,images/ALUMINUM CHLORIDE product package/12. crystalline-aluminum-chloride-hexahydrate-no-noxious-gas.png
0.4,images/ALUMINUM CHLORIDE product package/4. 488-0100_4.jpg
0.2,images/ALUMINUM CHLORIDE product package/2. a127.jpg
0.2,images/ALUMINUM CHLORIDE product package/5. s-l1600.jpg
0.6,images/ALUMINUM CHLORIDE product package/17. alcl.jpg
0.2,images/ALUMINUM CHLORIDE product package/22. sure-women-cotton-fresh-anti-perspirant-stick-11258.jpg
0.2,images/ALUMINUM CHLORIDE product package/13. pre7091.jpg
0.6,images/ALUMINUM CHLORIDE product package/47. 4efc925765993a2887035d90463f900f.jpg
0.4,images/AMITRIPTYLINE HYDROCHLORIDE product package/37. api-amitriptyline-hcl-high-purity-cas-549.png
0.6,images/AMITRIPTYLINE HYDROCHLORIDE product package/10. 10162_001_xxl.jpg
0.4,images/AMITRIPTYLINE HYDROCHLORIDE product package/7. 2a.-cream-kit-amitriptyline-120gm-box-1-e1523259101885.jpg
0.6,images/AMITRIPTYLINE HYDROCHLORIDE product package/36. 012sl01-50-1000-1-hr.jpg
0.4,images/AMITRIPTYLINE HYDROCHLORIDE product package/9. 3d-pill-bottle_38eeccf4-9139-45fa-8350-b3e390d271d6_1024x1024.png
0.0,images/AMITRIPTYLINE HYDROCHLORIDE product package/25. divaine.png
0.0,images/AMITRIPTYLINE HYDROCHLORIDE product package/24. zymox-retail-ear-cleanser-4-oz-1.jpg
0.8,images/AMITRIPTYLINE HYDROCHLORIDE product package/5. amitriptylline.jpg
0.2,images/AMITRIPTYLINE HYDROCHLORIDE product package/28. 590-tryptomer-generic-amitrip-amitriptyline-25-mg-tablets-merind-limited-.jpg
0.8,images/AMITRIPTYLINE HYDROCHLORIDE product package/22. 5274765.jpg
0.2,images/AMITRIPTYLINE HYDROCHLORIDE product package/30. 146527_main._ac_sl1500_v1531335115_.jpg
1.0,images/ALBUTEROL SULFATE product package/21. albuterol-inhaler-ventolin-90mcg-18g-200-metered-inhalations-4af.1491306253.jpg
0.3,images/ALBUTEROL SULFATE product package/34. albuterol-sulfate-syrup-2mg-5ml-473ml-14.jpg
0.7,images/ALBUTEROL SULFATE product package/22. a-ventolin-inhaler-used-as-a-reliever-for-symptoms-of-asthma-gr3em4.jpg
0.7,images/ALBUTEROL SULFATE product package/25. ventolin-inhaler-h30pjn.jpg
0.0,images/ADRENALINUM product package/18. 21751-1-1000.jpg
0.0,images/ADRENALINUM product package/10. muscle-maximizer-2-fl-oz-by-king-bio-extra1.jpg
0.0,images/ADRENALINUM product package/20. 20121214_149.jpg
0.0,images/ADRENALINUM product package/4. 3401-1-1000.jpg
0.0,images/ADRENALINUM product package/1. 16963-1-1000.jpg
0.0,images/ADRENALINUM product package/32. southern-us-formula-2-2-oz_web2.jpeg
0.0,images/ADRENALINUM product package/12. 900.jpg
0.0,images/ADRENALINUM product package/7. bio-83-tegor.png
0.6,images/ALLIUM SATIVUM product package/8. 61hlzx99rtl.jpg
0.0,images/ALLIUM SATIVUM product package/3. utb8kkabkydexkjk43oqq6az3xxam.jpg
0.6,images/ALLIUM SATIVUM product package/42. bimg5a6ee3e9d6e0d.jpg
0.2,images/ALLIUM SATIVUM product package/9. bri-nutrition-odorless-garlic-120-softgels-1000mg-pure-and-potent-garlic-allium-sativum-supplement-maximum-strength-60-day-supply-616320074241-1-1000x1000.jpeg
0.2,images/ALLIUM SATIVUM product package/29. 61kpwunihdl.jpg
0.4,images/ALLIUM SATIVUM product package/4. sh_s006.png
0.4,images/ALLIUM SATIVUM product package/6. fullsizeoutput_6d1_900x.jpeg
0.2,images/ALLIUM SATIVUM product package/27. 3203-a_-_nutrispore.1491820487.png
0.4,images/ALLIUM SATIVUM product package/16. file_000_54__1.jpeg
0.4,images/ALLIUM SATIVUM product package/14. garlic_web_btl_01.jpg
0.8,images/ALLIUM SATIVUM product package/22. 71qqdubrk5l._sl1500_.jpg
0.2,images/ACETAMINOPHEN product package/32. s-l1000.jpg
0.0,images/ACETAMINOPHEN product package/17. 000718499.jpg
0.0,images/ACETAMINOPHEN product package/37. 71wlj2k5oll.jpg
0.0,images/ACETAMINOPHEN product package/12. 2.3-tylenol-50-hero-callout.jpg
0.0,images/ACETAMINOPHEN product package/19. 71ulncafu9l._sl1500_.jpg
0.2,images/ACYCLOVIR product package/9. acyclovir-400-mg-500-ct.jpg
0.4,images/ACYCLOVIR product package/5. aciclovir-misc.jpg
0.4,images/ACYCLOVIR product package/40. diacetyl-gaunin.png
0.2,images/ACYCLOVIR product package/26. 20170320223387008700.jpg
0.4,images/ACYCLOVIR product package/42. acyclovir-sodium-injection-gmp-factory-lyophilizated-powder-for-injection.jpg
0.6,images/ACYCLOVIR product package/6. a4ae56b54ec340eff57ac976fe719d01.jpg
0.8,images/ACYCLOVIR product package/27. 26edb636-584d-43da-b30d-b425896c230a.jpg
0.4,images/ACYCLOVIR product package/7. acyclovir-800-mg-500-ct.jpg
0.6,images/ACYCLOVIR product package/16. duffb5fxcau8y8b.jpg
0.4,images/ACYCLOVIR product package/39. treatment-of-shingles-with-acyclovir.jpg
0.0,images/ADAPALENE BENZOYL PEROXIDE product package/25. img_4599.jpg
0.6,images/ADAPALENE BENZOYL PEROXIDE product package/16. epiduo.jpg
0.2,images/ADAPALENE BENZOYL PEROXIDE product package/36. f2ccef54eb34669858e24c91fb325aeb--acne-types-benzoyl-peroxide.jpg
0.4,images/ADAPALENE BENZOYL PEROXIDE product package/12. 61ahtanmm1l.jpg
0.4,images/ADAPALENE BENZOYL PEROXIDE product package/37. 61y7iniaazl.jpg
0.2,images/ADAPALENE BENZOYL PEROXIDE product package/8. d57320bb-e81c-4211-aa73-b5182dba11fe_1.167fa3ed75f8aafdbc0339193dae2847.jpeg
0.4,images/ADAPALENE BENZOYL PEROXIDE product package/21. mary-kay-clear-proof-acne-treatment-gel.jpg
0.8,images/ADAPALENE BENZOYL PEROXIDE product package/7. 61atabridhl.jpg
0.4,images/ADAPALENE BENZOYL PEROXIDE product package/6. 615humr5ufl._sl1000_.jpg
0.2,images/ADAPALENE BENZOYL PEROXIDE product package/3. 71ku7n6ssfl.jpg
0.8,images/ADAPALENE BENZOYL PEROXIDE product package/40. duys1vyvqaudvri.jpg
0.4,images/ADAPALENE BENZOYL PEROXIDE product package/32. 691c58b9-cb1a-4031-96a4-6db0c449ec6c.jpg
0.4,images/ADAPALENE BENZOYL PEROXIDE product package/26. oxidoben-adapalene-1-benzoyl-peroxide-2.5-gel-buy-epiduo-generic-online-without-prescription-otc-okdermo-skin-care.jpg
0.8,images/ADAPALENE BENZOYL PEROXIDE product package/49. 1dcd6d4241d7650c6e466695ae77324b.jpg
0.2,images/ACONITUM NAP. product package/46. aconitum-napellus-30x-homeopathic-formula-for-colds-fever-250-tablets-40987.jpg
0.0,images/ACONITUM NAP. product package/19. aconitum1.jpg
