file,eng,fra,spa,chi_sim,word_counts,Score_0,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9
images/96. 002145708.jpg,"from Texas Trees, Weeds & Grasses  ~—— HOMEOPATHIC == All Season Relief:","from Texas Trees, Weeds & Grasses  — HOMEOPATHIC — AIl Season Relief: —","from Texas Trees, Weeds % Grasses —  — HOMEOPATHIC — All Season Relief: -",from Texa5 Tfees Weeds & Gras565  一 一 HoMEoWIMIC 州 l Season l′_I髓= =`,13,26,34,39,21,41,36,24,24,19,24
images/96. 859112006086_supp.jpg,infants under 1 year of age.  wﬁtionb Facts Sevings bar Comtanr 30,infants under l year of age.  Ëtﬁtio«_ Facts Senings Per Continer 0,infants under 1 year of age. -  !¿=iñtion_ Facts SevinosPor Contaner 80,infants under t year ofag6.-  Mutrition Facts b,12,24,24,33,28,28,26,36,27,31,34
images/94. 041100806574.jpg,Indoor & Outdoor Allergies Nl     2 0 LRI  “When taken asulirected SeeDrug Facts Panel. ;,Indoor & Outdoor Allergies z ané -     2 a CHEWABLE JABLETS:  d MEh és és addaa Vetlpéelots deilah '(,"Indoor 8 Outdoor Allergies ZA     2 0 2001197177  M lze 2a ei ae A """,Indoor & Outdoor Allergies zn     Z ″ /XAl/A/ 者 AE/A3/7  CWe7toKeiibJreCteH5EpD7UDTOCfS0TEJ 夥,19,9,42,30,28,31,25,18,27,25,28
images/97. 5803756e-9efd-5cd3-819a-c1315b82a944.jpg,"Compare to the active [ TE T T  berkley  jensen.        MORE  V2L H S  E B,S@ l","Compare to the active TON E RE L b  e SMS)  IZaSSar        MO  GUARANTEE  E | B,S® \","(N OCE al C1 O NOE icl  SY  aS        MORE  GUARANTEE  “ B,$© !",L ingredient in laritin “  berkley  ISESSL        MORE  GUARANTEE  ' ( …_ 口 `,18,31,25,30,45,29,30,20,27,24,40
images/449014_1280x720.jpg,pharmacy tcompare to the active ingredient       §'\ % in pramamine® Tablets  S -  N  =~ E  *%x a  N o  = 7  = o  = ¢  X DIMENHYDRINATE TABLETS/A  sickness relief 36 ————,pharmacy tCompare tothe active ingredient       \5 % in Dramamine* Tablets  s :  :SE;  = © P> .  *È:; “  V 9  S3: Û  S D  = *  SZ DIMENHYDRINATE TABLETS/ À  sickness relief 6 ——,"pharmacy +compare to the active ingredient       $ % in pramamine* Tablets  -  ,.  — - = a  *%:; u  II< o  ! q  — D  == +  X DIMENHYDRINATE TABLETS/A  sickness relief 38 — —",r “S_03  W  人 一 友  尸 B,35,22,21,25,100,19,14,21,19,22,32
images/900 (3).jpg,Err:507,"N3  W NDC 63654-526-69        Loratadine A I I er g y  Tablets USP. 10 mg  20 0m lMar 7 Ll  Indoor & Outdoor Allergies JORTIEF  Relief of: Sneezing; Runny Nose; ltchy, Watery Eyes, ltchy Throat or Nose.","Ne  N NDC 63654-526-69        Loratadine A I I er g y  Tablets USP, 10 mg  24/HourAllergy/Relief  MN AM 10£  Relief of: Sneezing; Runny Nose; Itchy, Watery Eyes, Itchy Throat or Nose.",玲  1 NDC 63654-526-69  U        Lorotodfye A//e′′gy  “ b/ets U5P 10 mg  FJrrAzRSJE7  F 7 印 077 d L L 招 _10L2ZZ3  Re/ief of: Sneezing; Runny Noser /tchy: Watery Eyes「 /tchy Throat or Nose-,37,24,13,28,19,30,19,41,23,34,25
images/95. 8887319426163_0102_1502189900528.jpg,"2rgy symptoms relief  Relief of + Runny, Itchy Nose s 60 +/ Sneezing . s  h our + Watery, Itchy Eyes + ltchy Skin Rash",">rgy symptoms relief  Relief of «/ Runny, Itchy Nose > 60 « Sneezing . è  h our « Watery, Itchy Eyes </_Itchy Skin Rash","2rgy symptoms relief  Relief of Y Runny, Itchy Nose E 60 Y Sneezing . s  h our Y Watery, Itchy Eyes Y lItchy Skin Rash","rgy Symptoms relief  Relief of w Runny, ltchy Nose W Sneezing  h OUr 奴 Watery, ltchy Eyes w ltchy Skin Rash",24,31,21,24,21,34,24,100,21,43,28
images/96. 000896525.jpg,"| : . . Compare to Tylenol® Sinus + Headache 4 active ingredients® §§§§ NDC 37808-466-08 i\  wimmoary - Sl ok e 27,  s s PIT S S PIANCS MBI RIS poA S ES KT SIBII TSI S I PITII LIRS FAS Y 3.     P £ KL CPIISEP LN TS  i T T EOPS TET TCIIE S FA LI TET T  = Nasal Congestion ACTUAL SIZE  Instant Cooling Sensation  24 CAPLETS",| \ . N Compare to Tylenol® f d CEOE LS 4 active ingredients* ÊËÎË NDC 37808-466-08 â‘  ocsouprurens z ÉTUIS LI EE L 34  Drensanz s105004 045 SD LAAIANCS ALEFDULISEEII N SO UAN DEF FPOITIGIII SE LD FPAIIIE OL TILEEAAS FOUS SNF     LAILIEL = IL CDISLCTLNL S SS  R 0 EFTOAMNS LI CIS PSAS T 07 IOTNES S MMN HAOFCROAS  « Nasal Congestion ACTUAL SIZE  Instant Cooling Sensation  24 CAPLETS,| x _ N Compare to Tylenol* ST oe u active ingredients* 555% NDC 37808-466-08 $W  — E _ 2  aaIO D1 JO TPNA DI DI 1D AD III DIESID 1O PDIIIDUJIVLLLS ID Z) .     PO p XA INO NMZ  . a D TI AA AA JO77 - FDDIEIA FELIAA FEN  s Nasal Congestion ACTUAL SIZE  Instant Cooling Sensation  24 CAPLETS,元 z 砂  crzeroarery 一 7 M totZTLIEooi2  x a syz  vmomreem cr < aorrariasy  anvzurv d ir -  口 u 口 口 d 孙  g iici aavmmazaymidrarccr ir y ′″″″。=′  razar 又 L ZzimiydzLmurigr A  0 阮 心 3 - 工 - d 二 rgrcP 55 二 CFXErct AdL L 工 LIFEriar           Compare to Tylenole Sinus + Headache active ingredients*  NDC 37808-466-08  Relieves ′ s Headache Paln  GSinus PreSSUIE Nasal CongestI0n ACTUAL SIZE  Instant Cooling Sensation,71,18,18,31,32,20,20,28,28,19,12
images/558254_xlarge.jpg,"Mucus Cough  & Cold  © T0 CLEAR BLOCKED (LGN TG el LA (3 . MUCUS FROM YOUR W [T TN N LA (LEN AT 1N [ SR )  200ml  Each 5mL of oral liquid contains Guaiphenesin 100mg, Phenylephrine hydrochloride 5mg","DL RI  dl  « T0 CLEAR BLOCKED OR RUNNY NOSE LS (R ; MUCUS FROM YOUR (I TT SUN LUE S ( VV (RI R GRS  PLn  E A DE A TO ETE Guaiphenesin 100mg, Phenylephrine hydrochloride 5mg","TA  8 Cold  CN7 M TS — TO HELP EXPEL . DI BN P CA (AO  aI  Each 5mL of oral liquid contains Guaiphenesin 100mg, Phenylephrine hydrochloride 5mg",Mucus Cough  E  L E  MUCUS FROM YOUR  0 仪  E  uuuL  Each 5mLoforal iquid contains J E,38,20,22,18,26,21,7,16,17,13,19
images/95. claritin-5-and-10-ct-9-12-11.jpg,$5.23  DRI,aller,$5.23  1DTOOO =,55.23  川 吴 HI,1,40,40,100,60,60,100,60,60,60,20
