idx_1,idx_2,idx_3,idx_4,idx_5,vals_1,vals_2,vals_3,vals_4,vals_5,top_ave,total_ave,top_total_ave
1,3,19,59,81,87.0,55.0,47.0,38.0,38.0,53.0,25.3,27.7
0,3,19,81,59,87.0,61.0,47.0,38.0,38.0,54.2,25.8,28.400000000000002
99,7,38,5,9,42.0,36.0,35.0,33.0,33.0,35.8,24.2,11.599999999999998
1,0,19,17,93,61.0,55.0,42.0,36.0,36.0,46.0,23.3,22.7
19,67,16,72,94,44.0,43.0,40.0,40.0,40.0,41.4,25.5,15.899999999999999
99,103,17,2,95,46.0,38.0,36.0,33.0,32.0,37.0,21.7,15.3
19,7,9,42,64,37.0,34.0,33.0,32.0,31.0,33.4,23.9,9.5
99,9,28,36,2,46.0,39.0,38.0,38.0,36.0,39.4,23.9,15.5
10,50,51,19,29,36.0,33.0,32.0,32.0,31.0,32.8,23.0,9.799999999999997
64,98,99,71,7,50.0,44.0,40.0,39.0,39.0,42.4,26.7,15.7
51,100,8,36,9,83.0,62.0,36.0,36.0,33.0,50.0,21.4,28.6
47,19,78,99,63,66.0,42.0,36.0,35.0,35.0,42.8,24.2,18.599999999999998
9,99,38,29,64,39.0,35.0,35.0,34.0,32.0,35.0,21.3,13.7
28,78,81,70,30,32.0,32.0,31.0,31.0,29.0,31.0,20.8,10.2
50,19,69,87,76,90.0,37.0,34.0,33.0,32.0,45.2,22.8,22.400000000000002
17,33,35,5,39,32.0,31.0,31.0,31.0,30.0,31.0,23.1,7.899999999999999
19,44,4,43,74,74.0,44.0,40.0,34.0,33.0,45.0,22.9,22.1
18,3,5,65,74,44.0,36.0,36.0,36.0,32.0,36.8,25.0,11.799999999999997
17,74,45,1,40,44.0,39.0,35.0,32.0,32.0,36.4,24.8,11.599999999999998
16,0,53,1,62,74.0,47.0,47.0,47.0,47.0,52.4,33.2,19.199999999999996
19,85,41,78,38,42.0,36.0,36.0,36.0,33.0,36.6,23.8,12.8
28,19,24,23,69,43.0,42.0,37.0,37.0,34.0,38.6,23.6,15.0
99,17,93,26,28,35.0,32.0,32.0,32.0,31.0,32.4,22.2,10.2
28,21,73,57,63,40.0,37.0,36.0,35.0,32.0,36.0,23.2,12.8
19,28,21,62,11,42.0,40.0,37.0,34.0,34.0,37.4,24.1,13.299999999999997
19,78,28,30,63,37.0,32.0,32.0,31.0,30.0,32.4,21.2,11.2
40,31,35,49,2,36.0,34.0,34.0,32.0,32.0,33.6,24.2,9.400000000000002
19,78,9,36,29,37.0,33.0,33.0,33.0,31.0,33.4,21.4,12.0
82,31,30,21,53,53.0,49.0,48.0,43.0,42.0,47.0,29.0,18.0
31,36,35,33,89,41.0,41.0,40.0,38.0,34.0,38.8,23.7,15.099999999999998
28,19,93,4,87,48.0,42.0,36.0,34.0,33.0,38.6,24.0,14.600000000000001
28,29,19,26,36,49.0,41.0,37.0,34.0,33.0,38.8,23.4,15.399999999999999
19,28,78,34,41,42.0,38.0,36.0,35.0,28.0,35.8,20.6,15.199999999999996
39,78,41,19,36,68.0,64.0,63.0,42.0,41.0,55.6,24.4,31.200000000000003
19,28,78,32,41,42.0,40.0,40.0,35.0,33.0,38.0,22.2,15.8
40,29,39,41,26,44.0,40.0,37.0,37.0,34.0,38.4,21.9,16.5
39,29,33,100,7,49.0,41.0,41.0,38.0,38.0,41.4,22.3,19.099999999999998
78,19,93,75,28,48.0,37.0,36.0,36.0,34.0,38.2,24.3,13.900000000000002
12,2,65,92,79,35.0,35.0,35.0,34.0,33.0,34.4,25.8,8.599999999999998
33,41,36,78,35,68.0,53.0,49.0,44.0,37.0,50.2,24.3,25.900000000000002
35,93,9,78,26,44.0,40.0,39.0,38.0,36.0,39.4,24.3,15.099999999999998
78,33,39,42,35,64.0,63.0,53.0,42.0,37.0,51.8,25.7,26.099999999999998
78,41,19,69,93,56.0,42.0,37.0,34.0,32.0,40.2,23.2,17.000000000000004
46,19,44,45,75,46.0,42.0,39.0,38.0,36.0,40.2,24.9,15.300000000000004
